Date,Open,High,Low,Close,Adj Close,Volume
2020-11-04,171.350006,177.589996,170.589996,176.960007,176.960007,3116100
2020-11-05,183.000000,187.449997,180.580002,184.619995,184.619995,3371000
2020-11-06,184.789993,187.750000,180.169998,186.789993,186.789993,1734800
2020-11-09,176.160004,182.970001,164.000000,169.080002,169.080002,6129200
2020-11-10,169.800003,169.960007,155.100006,156.529999,156.529999,7169100
2020-11-11,166.449997,171.690002,161.509995,169.130005,169.130005,6227100
2020-11-12,174.000000,179.449005,171.820007,178.770004,178.770004,4093300
2020-11-13,181.199997,183.660004,176.630005,181.440002,181.440002,2902900
2020-11-16,178.699997,179.240005,172.000000,178.220001,178.220001,4711000
2020-11-17,182.889999,187.179993,168.559998,170.619995,170.619995,6000700
2020-11-18,174.289993,174.830002,165.000000,165.160004,165.160004,4290100
2020-11-19,167.720001,174.809998,166.000000,173.470001,173.470001,2750400
2020-11-20,175.199997,184.059998,175.190002,183.110001,183.110001,3841400
2020-11-23,183.000000,185.000000,178.153000,182.919998,182.919998,3122400
2020-11-24,179.229996,181.250000,174.302002,176.919998,176.919998,3308700
2020-11-25,176.350006,178.720001,173.699997,177.699997,177.699997,2155800
2020-11-27,180.500000,182.750000,178.220001,182.550003,182.550003,1895800
2020-11-30,183.000000,183.800003,173.910004,180.369995,180.369995,2289600
2020-12-01,183.100006,183.500000,176.589996,177.380005,177.380005,2323400
2020-12-02,174.990005,184.929993,174.500000,183.880005,183.880005,4206600
2020-12-03,185.059998,192.360001,182.580002,183.529999,183.529999,5084000
2020-12-04,190.970001,203.423004,186.100006,198.779999,198.779999,11898800
2020-12-07,200.000000,200.000000,195.399994,198.570007,198.570007,2951600
2020-12-08,199.000000,207.514999,197.600006,205.869995,205.869995,5915500
2020-12-09,208.550003,212.330002,200.399994,202.679993,202.679993,3627600
2020-12-10,194.919998,201.699997,194.039993,198.949997,198.949997,3969000
2020-12-11,194.300003,195.899994,190.250000,193.380005,193.380005,6945700
2020-12-14,195.000000,195.679993,189.059998,190.259995,190.259995,2889600
2020-12-15,191.500000,191.750000,186.000000,188.089996,188.089996,3005200
2020-12-16,189.669998,196.440002,188.375000,192.990005,192.990005,3706800
2020-12-17,195.460007,198.445007,194.029999,198.050003,198.050003,2842500
